customerID,gender,SeniorCitizen,Partner,Dependents,Day,year,month
4080-IIARD,Female,,Yes,No,24,2009,5
3714-NTNFO,Female,,No,No,4,1997,11
5948-UJZLF,Male,,No,No,24,1993,10
7760-OYPDY,Female,,No,No,17,1985,7
7639-LIAYI,Male,,No,No,23,2001,3
2954-PIBKO,Female,,Yes,Yes,22,2008,8
8012-SOUDQ,Female,,No,No,4,1988,11
9420-LOJKX,Female,,No,No,14,2001,6
6575-SUVOI,Female,,Yes,No,24,2006,2
7495-OOKFY,Female,,Yes,No,3,2000,4
4667-QONEA,Female,,Yes,Yes,25,1991,7
1658-BYGOY,Male,,No,No,18,1984,2
8769-KKTPH,Female,,Yes,Yes,19,2012,6
5067-XJQFU,Male,,Yes,Yes,9,2004,8
3957-SQXML,Female,,Yes,Yes,30,1993,2
5954-BDFSG,Female,,No,No,10,1995,2
0434-CSFON,Female,,Yes,No,4,1983,11
1215-FIGMP,Male,,No,No,16,1987,10
0526-SXDJP,Male,,Yes,No,3,1992,4
0557-ASKVU,Female,,Yes,Yes,14,2005,2
5698-BQJOH,Female,,No,No,17,2002,3
5122-CYFXA,Female,,No,No,21,1992,8
8627-ZYGSZ,Male,,Yes,No,19,1991,8
3410-YOQBQ,Female,,No,No,4,2012,6
3170-NMYVV,Female,,Yes,Yes,13,1983,1
7410-OIEDU,Male,,No,No,20,2009,3
2273-QCKXA,Male,,No,No,21,1999,8
0731-EBJQB,Female,,Yes,Yes,19,1987,12
1891-QRQSA,Male,,Yes,Yes,23,1980,10
8028-PNXHQ,Male,,Yes,Yes,2,2010,11
5630-AHZIL,Female,,No,Yes,21,1991,3
2673-CXQEU,Female,,No,No,28,1980,2
6416-JNVRK,Female,,No,No,3,1982,11
5590-ZSKRV,Female,,Yes,Yes,29,2001,10
0191-ZHSKZ,Male,,No,No,8,1982,1
3887-PBQAO,Female,,Yes,Yes,11,2008,7
5919-TMRGD,Female,,No,Yes,8,2012,12
8108-UXRQN,Female,,Yes,Yes,24,1999,1
9191-MYQKX,Female,,Yes,No,21,1998,8
9919-YLNNG,Female,,No,No,13,2006,1
0318-ZOPWS,Female,,Yes,No,24,1984,2
4445-ZJNMU,Male,,No,No,20,1996,6
4808-YNLEU,Female,,Yes,No,10,1988,2
1862-QRWPE,Female,,Yes,Yes,16,1987,5
2796-NNUFI,Female,,Yes,Yes,13,1993,6
3016-KSVCP,Male,,Yes,No,2,2007,5
4767-HZZHQ,Male,,Yes,Yes,16,2006,7
2424-WVHPL,Male,,No,No,23,2006,12
7233-PAHHL,Male,,Yes,Yes,17,2012,5
6067-NGCEU,Female,,No,No,15,1992,12
9848-JQJTX,Male,,No,No,24,1998,4
8637-XJIVR,Female,,No,No,2,1997,5
9803-FTJCG,Male,,Yes,Yes,18,1995,12
0278-YXOOG,Male,,No,No,22,1994,2
3212-KXOCR,Male,,No,No,16,1981,4
4598-XLKNJ,Female,,Yes,No,6,2004,3
6380-ARCEH,Male,,No,No,29,2004,1
3679-XASPY,Female,,Yes,Yes,24,1998,2
7123-WQUHX,Male,,No,No,14,1991,8
5386-THSLQ,Female,,Yes,No,17,1982,5
3192-NQECA,Male,,Yes,No,11,1993,1
6180-YBIQI,Male,,No,No,3,1997,11
6728-DKUCO,Female,,Yes,Yes,11,2006,2
9750-BOOHV,Female,,No,No,23,2012,6
8597-CWYHH,Male,,No,No,1,1984,8
2848-YXSMW,Male,,Yes,Yes,4,1986,3
0486-HECZI,Male,,Yes,No,1,2000,3
4549-ZDQYY,Female,,No,No,9,1983,9
5712-AHQNN,Female,,No,No,3,1981,10
4846-WHAFZ,Female,,Yes,No,26,2005,3
5256-SKJGO,Female,,Yes,Yes,13,1987,6
3071-VBYPO,Male,,Yes,Yes,25,1996,7
9560-BBZXK,Female,,No,No,30,1997,4
5299-RULOA,Female,,Yes,Yes,23,2004,10
8402-OOOHJ,Female,,No,No,2,1996,9
9445-ZUEQE,Male,,Yes,Yes,26,2008,5
1091-SOZGA,Female,,Yes,Yes,25,2001,1
2928-HLDBA,Female,,No,No,6,1988,5
0404-SWRVG,Male,,No,No,17,1989,11
6497-TILVL,Female,,Yes,Yes,30,2002,11
7219-TLZHO,Female,,Yes,Yes,11,1997,7
4622-YNKIJ,Male,,No,No,6,1994,4
4412-YLTKF,Female,,No,No,27,1982,10
6734-PSBAW,Male,,Yes,No,1,1989,10
3930-ZGWVE,Male,,No,No,30,1989,9
2639-UGMAZ,Male,,No,No,3,2008,11
2876-GZYZC,Female,,No,No,3,2012,10
6207-WIOLX,Female,,Yes,Yes,11,2011,11
8587-XYZSF,Male,,No,No,19,2010,9
3091-FYHKI,Male,,No,No,20,1988,12
2372-HWUHI,Male,,No,No,5,2000,2
7799-LGRDP,Female,,No,No,6,1990,1
7850-VWJUU,Female,,No,No,27,2006,4
3774-VBNXY,Female,,Yes,Yes,18,1991,7
6217-KDYWC,Male,,No,Yes,9,2006,11
0390-DCFDQ,Female,,Yes,No,17,1991,3
3146-MSEGF,Female,,Yes,Yes,13,2010,8
4080-OGPJL,Female,,No,No,20,1996,11
1095-WGNGG,Female,,Yes,No,10,1980,3
2636-SJDOU,Male,,No,No,3,2000,7
1131-QQZEB,Male,,Yes,No,21,2006,2
5716-EZXZN,Female,,Yes,Yes,15,1998,4
6837-BJYDQ,Male,,No,No,8,1988,9
2135-RXIHG,Male,,No,No,8,2009,2
6440-DKQGE,Male,,No,Yes,4,1983,7
3466-BYAVD,Male,,Yes,Yes,9,2010,4
3780-YVMFA,Female,,Yes,Yes,18,1985,3
3874-EQOEP,Male,,No,No,21,1994,7
1679-JRFBR,Female,,Yes,Yes,10,1998,1
9073-ZZIAY,Male,,Yes,Yes,20,1998,7
3077-RSNTJ,Female,,Yes,Yes,2,2006,9
6551-GNYDG,Female,,Yes,Yes,14,2008,8
9167-APMXZ,Female,,No,No,28,2007,10
2749-CTKAJ,Male,,Yes,Yes,12,1986,10
6371-NZYEG,Male,,Yes,Yes,20,1994,12
7554-NEWDD,Male,,No,No,23,2006,2
8992-VONJD,Female,,No,Yes,18,1997,12
0867-MKZVY,Female,,Yes,No,12,1990,2
4482-EWFMI,Female,,No,No,17,2007,12
4648-YPBTM,Male,,No,No,11,1985,12
2907-ILJBN,Female,,Yes,Yes,9,1990,8
6345-FZOQH,Male,,Yes,No,16,2011,7
3376-BMGFE,Female,,No,No,7,2003,1
5997-OPVFA,Male,,Yes,No,27,1994,2
3445-HXXGF,Male,,Yes,No,20,1989,7
1159-WFSGR,Female,,Yes,Yes,6,1981,4
7654-YWJUF,Male,,Yes,No,26,1984,10
1875-QIVME,Female,,Yes,No,17,1998,6
6727-IOTLZ,Male,,Yes,No,26,2009,2
0691-JVSYA,Female,,Yes,No,16,2005,5
5918-VUKWP,Female,,No,No,8,1990,9
1744-JHKYS,Female,,Yes,No,16,1994,8
2656-FMOKZ,Female,,No,No,7,1987,10
2070-FNEXE,Female,,No,No,18,1987,1
5947-SGKCL,Female,,Yes,Yes,4,1983,1
3712-PKXZA,Male,,Yes,No,9,2012,12
6317-YPKDH,Female,,No,No,24,1981,2
6582-OIVSP,Female,,No,No,29,1998,7
9367-WXLCH,Male,,No,No,11,2004,12
5524-KHNJP,Male,,Yes,Yes,16,1994,2
1918-ZBFQJ,Female,,No,No,24,2002,10
1024-GUALD,Female,,Yes,No,14,1995,5
4827-USJHP,Male,,No,No,6,2005,6
8167-GJLRN,Male,,No,No,12,1990,8
0956-SYCWG,Female,,No,No,26,1988,1
8017-UVSZU,Female,,Yes,No,7,1983,11
7100-FQPRV,Male,,Yes,Yes,7,1990,9
2472-OVKUP,Male,,Yes,No,20,2001,10
2984-RGEYA,Female,,Yes,Yes,26,1997,4
9680-NIAUV,Female,,Yes,Yes,25,1999,11
2146-EGVDT,Male,,Yes,Yes,6,1988,11
2604-IJPDU,Female,,Yes,No,5,1989,11
9178-JHUVJ,Male,,Yes,Yes,18,1981,11
6168-YBYNP,Male,,No,No,3,2005,9
7255-SSFBC,Male,,Yes,Yes,22,1987,11
3645-DEYGF,Male,,No,Yes,9,2009,8
9323-HGFWY,Female,,Yes,No,26,1988,6
8544-GOQSH,Female,,No,No,29,1986,7
3363-DTIVD,Male,,Yes,Yes,5,1985,1
7018-WBJNK,Male,,No,Yes,28,1992,11
9142-KZXOP,Male,,No,No,17,1998,4
7674-YTAFD,Female,,No,No,15,1993,3
6348-SNFUS,Male,,Yes,Yes,30,1990,2
1285-OKIPP,Male,,No,No,30,1994,11
7825-ECJRF,Female,,No,No,20,1985,2
1347-KTTTA,Male,,Yes,No,24,2001,2
7841-TZDMQ,Male,,No,No,8,2004,4
4195-NZGTA,Female,,No,No,18,1997,8
7157-SMCFK,Male,,No,Yes,3,2011,1
4709-LKHYG,Female,,Yes,Yes,21,2000,4
2504-DSHIH,Male,,Yes,No,15,2007,11
0699-NDKJM,Female,,Yes,No,13,1991,10
9286-BHDQG,Male,,Yes,Yes,16,2007,8
0230-WEQUW,Male,,Yes,No,1,2007,2
2040-LDIWQ,Male,,Yes,Yes,1,2011,1
6496-JDSSB,Female,,No,No,25,1985,11
9408-SSNVZ,Female,,No,No,16,1996,4
4443-EMBNA,Female,,Yes,No,22,2010,11
6469-MRVET,Male,,Yes,Yes,5,2009,10
0742-MOABM,Male,,Yes,No,27,1996,9
5961-VUSRV,Female,,No,No,20,2000,2
6778-JFCMK,Male,,No,No,20,1982,9
6341-JVQGF,Female,,Yes,Yes,13,2002,9
2232-DMLXU,Female,,Yes,No,25,2008,3
4811-JBUVU,Male,,No,No,6,1986,10
0945-TSONX,Female,,Yes,Yes,25,1984,7
2651-ZCBXV,Male,,No,No,5,1998,3
3316-UWXUY,Male,,No,No,13,2005,11
8937-RDTHP,Male,,No,No,3,2005,5
7083-MIOPC,Female,,No,No,2,1998,1
1984-GPTEH,Female,,No,No,7,1999,1
1251-KRREG,Male,,No,No,6,1981,10
0621-JFHOL,Female,,No,No,18,2003,5
9903-LYSAB,Male,,Yes,No,23,1984,6
0094-OIFMO,Female,,No,No,28,2007,1
9227-UAQFT,Male,,No,No,21,2006,4
7301-ABVAD,Female,,No,No,17,1998,2
6614-FHDBO,Male,,No,No,30,1998,7
7576-ASEJU,Female,,Yes,Yes,1,2002,5
9058-HRZSV,Female,,Yes,No,4,1982,1
4522-AKYLR,Female,,No,No,26,1982,10
0221-WMXNQ,Male,,No,No,9,1986,11
0303-UNCIP,Male,,No,No,19,1987,5
9947-OTFQU,Male,,No,No,2,1984,1
0322-YINQP,Male,,No,No,18,1997,6
0959-WHOKV,Male,,No,No,10,2000,7
4075-JFPGR,Female,,Yes,No,18,1999,10
4629-NRXKX,Female,,Yes,Yes,5,2002,2
9514-JDSKI,Male,,Yes,No,18,2003,5
3282-ZISZV,Male,,No,Yes,21,1997,8
3675-YDUPJ,Male,,No,No,11,1998,4
4111-BNXIF,Female,,Yes,Yes,4,1991,9
7017-VFHAY,Female,,Yes,Yes,3,2000,5
6655-LHBYW,Male,,No,No,1,1999,4
4959-JOSRX,Female,,Yes,No,21,2008,10
5046-NUHWD,Female,,Yes,No,2,1984,6
7273-TEFQD,Male,,No,No,20,1980,11
3606-TWKGI,Male,,No,No,26,2012,1
7529-ZDFXI,Male,,Yes,No,8,2002,8
7605-BDWDC,Female,,No,No,23,2004,10
1950-KSVVJ,Female,,Yes,No,30,2012,4
0123-CRBRT,Female,,Yes,Yes,13,2002,10
6292-TOSSS,Male,,No,No,13,1998,1
3197-ARFOY,Female,,No,No,6,2008,6
6323-AYBRX,Male,,No,No,26,2007,10
7014-ZZXAW,Female,,Yes,No,8,1995,10
4385-GZQXV,Female,,No,No,1,1997,12
7633-MVPUY,Male,,Yes,No,18,2005,10
6366-ZGQGL,Male,,No,No,27,1984,6
4716-HHKQH,Male,,Yes,No,28,1993,7
5940-AHUHD,Male,,No,No,4,1989,9
6432-TWQLB,Male,,Yes,No,23,1994,6
4484-GLZOU,Female,,Yes,No,15,1984,1
3179-GBRWV,Male,,Yes,No,7,2000,5
8645-KWHJO,Male,,No,No,19,2005,3
4130-MZLCC,Female,,No,No,18,1998,3
0314-TKOSI,Female,,No,No,24,2000,2
8229-MYEJZ,Female,,No,No,14,1993,9
2080-SRCDE,Female,,No,Yes,26,1983,3
9577-WJVCQ,Female,,No,No,20,2005,10
9512-UIBFX,Male,,Yes,Yes,7,1996,11
6202-DYYFX,Female,,No,No,28,2010,3
3808-HFKDE,Female,,No,No,30,1981,9
5583-SXDAG,Male,,Yes,No,23,1981,1
3488-PGMQJ,Male,,No,No,16,1997,10
3580-REOAC,Male,,No,No,6,2004,6
7534-BFESC,Male,,No,No,21,1981,1
3727-OWVYD,Male,,No,No,27,1994,8
2294-SALNE,Male,,Yes,Yes,11,1981,7
4847-TAJYI,Female,,No,No,15,2005,2
1563-IWQEX,Female,,No,No,16,1999,6
8203-XJZRC,Male,,No,No,26,2006,8
6556-DBKZF,Female,,Yes,Yes,6,1989,2
6851-WEFYX,Male,,Yes,No,6,1980,8
2985-JUUBZ,Male,,Yes,Yes,15,1991,12
6390-DSAZX,Female,,No,Yes,21,1987,4
0895-LMRSF,Male,,No,No,12,2001,12
8098-LLAZX,Female,,No,No,8,2000,2
8266-VBFQL,Male,,No,No,7,2011,12
8181-YHCMF,Female,,Yes,Yes,15,2000,4
2240-HSJQD,Male,,No,Yes,1,1997,12
1248-DYXUB,Male,,Yes,Yes,17,1994,6
0265-EDXBD,Male,,Yes,No,10,2007,5
4115-BNPJY,Male,,Yes,Yes,11,1993,3
3167-SNQPL,Male,,Yes,Yes,10,1992,7
4091-TVOCN,Male,,No,Yes,17,1994,4
1098-TDVUQ,Female,,No,No,15,1980,6
7277-OZCGZ,Female,,No,No,6,2007,12
1557-EMYVT,Female,,No,No,8,1982,3
2799-ARNLO,Female,,Yes,No,16,1982,8
7563-BIUPC,Male,,No,No,23,1988,2
5027-YOCXN,Male,,Yes,Yes,4,1988,11
3973-SKMLN,Male,,No,No,4,2012,5
2321-OMBXY,Female,,Yes,Yes,27,1985,9
2840-XANRC,Male,,Yes,No,20,2003,5
6745-JEFZB,Male,,Yes,No,18,1984,11
5020-ZSTTY,Female,,No,No,2,2002,4
9880-TDQAC,Female,,Yes,Yes,4,1999,11
8705-WZCYL,Male,,No,No,27,1989,12
7102-JJVTX,Female,,Yes,Yes,18,1981,12
8626-PTQGE,Male,,No,No,24,2005,6
4983-CLMLV,Female,,Yes,No,14,1984,5
5701-YVSVF,Female,,Yes,No,8,1993,5
5804-LEPIM,Female,,No,No,23,2005,6
5697-GOMBF,Female,,Yes,Yes,4,1992,1
2739-CACDQ,Female,,No,No,27,2007,2
9385-EHGDO,Female,,Yes,Yes,16,1996,12
9498-FIMXL,Female,,No,No,7,2002,7
2379-GYFLQ,Male,,No,No,15,1995,3
0122-OAHPZ,Female,,No,No,11,1992,9
2868-SNELZ,Female,,No,No,3,2011,9
4322-RCYMT,Male,,Yes,Yes,25,1991,5
6680-NENYN,Female,,No,No,28,1984,10
2088-IEBAU,Female,,No,No,11,1985,9
7982-VCELR,Female,,No,No,25,2003,7
1343-EHPYB,Male,,Yes,No,19,2005,2
6035-BXTTY,Female,,No,No,1,2002,1
6885-PKOAM,Female,,Yes,No,9,1991,10
7520-HQWJU,Female,,Yes,Yes,2,1981,2
9639-BUJXT,Male,,No,No,6,1992,3
5924-SNGKP,Female,,No,Yes,15,2007,8
0021-IKXGC,Female,,No,No,9,1995,6
2034-GDRCN,Female,,No,No,2,1996,1
8966-SNIZF,Female,,Yes,No,4,2002,6
6243-OZGFH,Female,,No,No,10,1996,2
4654-DLAMQ,Female,,Yes,No,21,2002,7
0513-RBGPE,Male,,Yes,Yes,11,1993,5
5160-UXJED,Male,,No,Yes,19,2007,3
4115-NZRKS,Female,,No,No,27,1986,8
0219-YTZUE,Male,,Yes,Yes,30,1998,7
0623-IIHUG,Female,,No,No,6,2001,7
4572-DVCGN,Female,,No,No,23,2000,10
3351-NGXYI,Female,,No,No,24,2011,12
8984-EYLLL,Male,,Yes,No,23,1994,1
9057-MSWCO,Male,,Yes,No,22,1986,1
9833-TGFHX,Male,,Yes,Yes,19,2002,8
9294-TDIPC,Male,,No,Yes,23,2008,3
5229-DTFYB,Female,,No,No,7,1985,8
0104-PPXDV,Male,,Yes,No,16,1983,6
5176-LMJXE,Female,,No,No,29,1990,7
3583-KRKMD,Male,,No,No,25,1983,5
1010-DIAUQ,Male,,No,No,21,1980,5
9069-LGEUL,Male,,Yes,No,26,1999,10
7302-ZHMHP,Female,,No,No,2,2008,12
9571-EDEBV,Male,,Yes,No,21,1987,7
3520-FJGCV,Male,,Yes,Yes,16,1984,6
6563-VRERX,Male,,Yes,Yes,4,1982,11
0259-GBZSH,Male,,No,No,18,2002,9
6122-EFVKN,Male,,No,Yes,28,2005,9
2805-EDJPQ,Female,,Yes,Yes,14,2012,10
6862-CQUMB,Male,,No,No,26,1999,2
7156-MXBJE,Female,,No,No,27,1997,4
6158-HDPXZ,Male,,No,No,30,1994,3
9601-BRXPO,Female,,Yes,No,2,1990,10
2863-IMQDR,Female,,No,No,22,1990,12
5686-CMAWK,Male,,No,No,23,1994,10
5651-CRHKQ,Female,,Yes,No,9,2007,2
6905-NIQIN,Male,,No,No,1,2011,8
8204-YJCLA,Male,,Yes,Yes,28,1999,9
5167-ZFFMM,Male,,No,No,22,2009,9
6583-SZVGP,Male,,No,No,19,1999,12
4895-TMWIR,Male,,Yes,No,23,1981,11
0533-BNWKF,Female,,Yes,No,15,1994,4
1708-PBBOA,Female,,No,No,4,1982,11
8782-LKFPK,Male,,No,No,14,1992,1
5522-JBWMO,Male,,No,Yes,3,2009,11
3597-MVHJT,Female,,No,No,2,2007,4
9774-NRNAU,Male,,Yes,No,10,2011,12
0224-RLWWD,Female,,No,No,22,2002,11
9967-ATRFS,Female,,No,No,22,1996,9
3951-NJCVI,Female,,Yes,No,7,1994,6
2977-CEBSX,Female,,No,No,25,1989,12
0177-PXBAT,Male,,Yes,No,15,2008,1
6599-CEBNN,Female,,No,No,9,1993,4
2519-ERQOJ,Male,,No,No,2,2000,9
5876-QMYLD,Female,,Yes,Yes,26,1984,10
2277-AXSDC,Female,,No,No,7,1983,5
9442-JTWDL,Female,,No,No,24,2005,10
0979-PHULV,Male,,Yes,Yes,19,1998,2
3067-SVMTC,Female,,Yes,No,23,1985,9
5495-GPSRW,Male,,No,No,27,1996,2
7606-BPHHN,Male,,No,No,10,1980,10
4742-DRORA,Male,,Yes,Yes,1,1980,4
0111-KLBQG,Male,,Yes,Yes,23,1987,6
4800-VHZKI,Female,,No,No,28,2002,10
7989-CHGTL,Male,,No,No,18,1984,3
0334-GDDSO,Male,,No,No,22,1986,4
4163-NCJAK,Female,,Yes,No,5,2000,4
5233-AOZUF,Female,,Yes,No,22,1986,4
5973-EJGDP,Male,,No,No,8,1985,1
1996-DBMUS,Female,,Yes,No,22,1983,7
7916-VCCPB,Female,,Yes,Yes,3,1983,9
4686-GEFRM,Male,,Yes,No,4,1997,5
5249-QYHEX,Female,,Yes,Yes,3,1995,10
0578-SKVMF,Female,,Yes,Yes,12,2012,12
5564-NEMQO,Female,,No,No,6,1996,1
2233-FAGXV,Female,,Yes,Yes,27,1982,2
5605-IYGFG,Female,,No,No,13,1982,9
7663-ZTEGJ,Male,,No,Yes,15,1996,7
3935-TBRZZ,Male,,Yes,Yes,1,1991,8
8111-BKVDS,Female,,No,No,7,1991,12
2055-SIFSS,Female,,Yes,No,22,1988,11
2806-MLNTI,Male,,Yes,No,18,1989,10
8734-DKSTZ,Female,,Yes,Yes,12,2005,1
4360-PNRQB,Male,,No,No,3,1983,7
6152-ONASV,Female,,Yes,No,28,1986,7
9063-ZGTUY,Female,,Yes,Yes,28,1980,11
7781-HVGMK,Female,,Yes,Yes,11,1996,8
2181-UAESM,Male,,No,No,15,1994,4
2957-LOLHO,Male,,No,No,23,1996,12
6048-NJXHX,Male,,Yes,No,14,2005,7
2320-SLKMB,Female,,No,No,16,2007,7
4980-URKXC,Male,,Yes,No,9,1995,2
4376-KFVRS,Male,,Yes,Yes,6,2010,4
5886-VLQVU,Male,,Yes,No,22,2012,10
3577-AMVUX,Male,,No,No,19,1993,6
0771-WLCLA,Female,,Yes,Yes,14,2004,11
5628-RKIFK,Female,,No,No,24,1999,8
0206-TBWLC,Female,,Yes,No,6,1997,12
2937-FTHUR,Female,,No,Yes,8,1999,5
1910-FMXJM,Female,,Yes,No,14,2001,4
7752-XUSCI,Female,,No,No,23,2012,6
4110-PFEUZ,Female,,No,No,11,1987,6
0732-OCQOC,Female,,Yes,Yes,29,2001,12
5168-MSWXT,Male,,Yes,Yes,19,1999,5
1090-ESELR,Male,,Yes,Yes,29,1993,8
8592-PLTMQ,Female,,No,No,15,1980,11
5760-WRAHC,Female,,No,No,15,1980,7
8847-GEOOQ,Male,,Yes,No,7,2010,9
0256-LTHVJ,Female,,Yes,Yes,17,1991,7
4785-FCIFB,Female,,Yes,No,3,1992,10
8313-NDOIA,Female,,No,No,24,1999,3
5149-CUZUJ,Male,,Yes,Yes,9,1982,2
0942-KOWSM,Female,,Yes,Yes,21,1984,4
4237-CLSMM,Male,,Yes,No,12,1987,4
1452-VOQCH,Male,,No,No,20,2000,12
4719-UMSIY,Male,,No,Yes,22,2011,7
6614-VBEGU,Female,,Yes,No,5,1982,1
0880-TKATG,Male,,Yes,Yes,3,2005,10
3811-VBYBZ,Male,,No,No,8,2009,1
1480-BKXGA,Male,,Yes,No,2,1991,5
2996-XAUVF,Male,,No,No,6,1987,11
9076-AXYIK,Male,,Yes,No,24,2002,4
5968-XQIVE,Male,,Yes,Yes,15,1985,7
8896-RAZCR,Female,,No,Yes,21,2002,4
4640-UHDOS,Female,,Yes,Yes,27,1984,6
4933-IKULF,Female,,No,No,2,1983,12
3583-EKAPL,Male,,No,No,18,2000,6
1304-BCCFO,Male,,Yes,No,16,2007,12
4104-PVRPS,Male,,Yes,No,7,1981,12
9399-APLBT,Female,,Yes,Yes,28,2005,12
2359-KMGLI,Male,,No,No,2,2001,7
3780-DDGSE,Male,,Yes,Yes,14,1981,11
4431-EDMIQ,Female,,Yes,Yes,29,1988,5
0306-JAELE,Male,,No,No,3,2006,8
6227-HWPWX,Female,,No,Yes,6,2005,6
0486-LGCCH,Male,,Yes,Yes,9,2005,8
0447-BEMNG,Female,,Yes,No,26,1995,5
4612-SSVHJ,Female,,No,No,7,1987,5
5168-MQQCA,Female,,Yes,No,20,1980,10
5949-XIKAE,Female,,Yes,Yes,19,1992,9
7971-HLVXI,Male,,Yes,Yes,2,1995,2
9094-AZPHK,Female,,No,No,27,1990,1
3649-JPUGY,Male,,No,No,28,1980,2
4472-LVYGI,Female,,Yes,Yes,8,1981,1
8372-JUXUI,Male,,No,Yes,6,1989,11
3552-CTCYF,Male,,Yes,Yes,4,1993,8
6778-YSNIH,Female,,No,No,17,2008,2
0388-EOPEX,Female,,Yes,No,3,1984,5
5756-OZRIO,Male,,Yes,No,30,1991,2
6579-JPICP,Male,,No,No,24,1984,6
8205-OTCHB,Male,,No,No,5,2012,9
4134-BSXLX,Male,,Yes,No,14,2011,9
0505-SPOOW,Female,,Yes,No,1,2002,9
6235-VDHOM,Female,,No,No,8,2004,9
7783-YKGDV,Female,,No,No,17,1986,11
4374-YMUSQ,Male,,No,No,24,2010,7
4513-CXYIX,Female,,Yes,No,8,1985,9
3957-HHLMR,Female,,Yes,Yes,19,1993,10
7803-XOCCZ,Female,,Yes,Yes,23,1992,4
5736-YEJAX,Male,,No,Yes,26,1980,11
5609-CEBID,Female,,No,No,9,1984,10
8981-FJGLA,Male,,No,Yes,30,2003,8
7218-HKQFK,Male,,Yes,No,22,2000,7
4636-QRJKY,Female,,Yes,Yes,1,2001,5
1135-LMECX,Female,,No,No,1,2005,4
4332-MUOEZ,Male,,Yes,Yes,19,1983,4
8535-SFUTN,Male,,No,No,24,2006,4
5956-VKDTT,Female,,Yes,No,28,1980,3
8677-HDZEE,Female,,No,No,20,1989,8
2475-MROZF,Male,,No,No,3,2009,11
9412-GHEEC,Male,,No,No,30,1990,10
3482-ABPKK,Female,,No,No,27,2006,2
6705-LXORM,Female,,Yes,No,25,2001,4
0257-ZESQC,Female,,Yes,No,13,1982,12
7531-GQHME,Male,,No,No,23,1996,6
5174-ITUMV,Male,,Yes,Yes,10,1981,4
4109-CYRBD,Male,,Yes,No,12,1983,1
0913-XWSCN,Male,,Yes,Yes,10,2006,5
6825-UYPFK,Female,,No,No,25,2005,5
8397-MVTAZ,Male,,Yes,No,19,1988,1
0750-EBAIU,Male,,No,No,21,1994,10
8606-CIQUL,Male,,Yes,Yes,12,1984,10
3571-DPYUH,Male,,Yes,Yes,4,1981,2
7601-GNDYK,Male,,Yes,Yes,30,1991,11
0356-OBMAC,Female,,No,No,7,2005,4
8067-NIOYM,Female,,Yes,Yes,11,2011,3
1403-GYAFU,Male,,Yes,Yes,19,1985,8
4234-XTNEA,Male,,No,No,12,2001,4
1297-VQDRP,Male,,Yes,Yes,5,1996,5
9282-IZGQK,Female,,No,No,24,1994,6
5348-CAGXB,Male,,No,No,7,1993,11
0621-HJWXJ,Female,,Yes,No,22,1995,1
5844-QVTAT,Female,,Yes,Yes,3,1993,1
8905-IAZPF,Female,,Yes,No,14,2007,4
5394-MEITZ,Female,,Yes,Yes,30,2012,5
6859-QNXIQ,Female,,Yes,Yes,10,2008,4
2782-LFZVW,Female,,No,No,22,1994,2
